text,label
"Reports suggest that Light smog is present, reducing visibility slightly.  and citizens are reacting strongly.",Moderate
"This morning, The environment feels a bit dusty and may cause mild throat irritation.",Moderate
"Today, Highly breathable and pure air quality, ideal for morning walks.  which is affecting daily life.",Excellent
"Today, Air feels mostly clean with small amounts of airborne particles.  and has raised health concerns.",Good
"In the area, Polluted atmosphere causing coughing and mild headaches.  which is affecting daily life.",Poor
"A cool breeze carries fresh, pure air that is perfect for outdoor activities.  as confirmed by environmental monitors.",Excellent
"A cool breeze carries fresh, pure air that is perfect for outdoor activities.  making outdoor activity risky.",Excellent
"Reports suggest that Overall atmosphere is healthy, though mild haze is occasionally visible.",Good
"In the area, AQI levels indicate moderate pollution, though still tolerable for most.",Moderate
"In the area, The air feels dirty, with noticeable haze lingering throughout the day.  as confirmed by environmental monitors.",Poor
"Today, Sharp burning sensation in throat and eyes due to deadly gas exposure.  and citizens are reacting strongly.",Hazardous
Reports suggest that Heavy dust and visible smog make breathing slightly uncomfortable.  which is affecting daily life.,Poor
Reports suggest that The air feels incredibly clean and refreshing with zero noticeable pollutants.  and has raised health concerns.,Excellent
"Reports suggest that A cool breeze carries fresh, pure air that is perfect for outdoor activities.  as confirmed by environmental monitors.",Excellent
"According to locals, Poor air quality today; long outdoor exposure may irritate the lungs.  and citizens are reacting strongly.",Poor
The environment feels a bit dusty and may cause mild throat irritation.  and citizens are reacting strongly.,Moderate
Experts noted that The environment smells fresh with no trace of pollution or dust.  and has raised health concerns.,Excellent
"This morning, Medical teams deployed as citizens faint from hazardous air conditions.  which is affecting daily life.",Hazardous
"Experts noted that AQI levels indicate moderate pollution, though still tolerable for most.  and has raised health concerns.",Moderate
Experts noted that Air quality is generally good with only a slight presence of natural dust.  and citizens are reacting strongly.,Good
Reports suggest that Polluted atmosphere causing coughing and mild headaches.  as confirmed by environmental monitors.,Poor
"Experts noted that The air feels dirty, with noticeable haze lingering throughout the day.  which is affecting daily life.",Poor
"The atmosphere is pristine, offering excellent visibility and comfort.  as confirmed by environmental monitors.",Excellent
Experts noted that Air so toxic that people report chest pain and vomiting blood.  making outdoor activity risky.,Hazardous
Reports suggest that Heavy dust and visible smog make breathing slightly uncomfortable.,Poor
The environment feels a bit dusty and may cause mild throat irritation.  and citizens are reacting strongly.,Moderate
"In the area, The environment feels a bit dusty and may cause mild throat irritation.  as confirmed by environmental monitors.",Moderate
"Experts noted that Good air quality today, suitable for most outdoor activities.  and has raised health concerns.",Good
"Today, Overall atmosphere is healthy, though mild haze is occasionally visible.  making outdoor activity risky.",Good
Experts noted that Air feels mostly clean with small amounts of airborne particles.  which is affecting daily life.,Good
Lingering pollution makes the environment unhealthy for children.  which is affecting daily life.,Poor
"According to locals, Heavy dust and visible smog make breathing slightly uncomfortable.",Poor
"Today, The environment feels a bit dusty and may cause mild throat irritation.  and citizens are reacting strongly.",Moderate
Polluted atmosphere causing coughing and mild headaches.  making outdoor activity risky.,Poor
"This morning, Strong odor of chemicals in the air indicates high pollution levels.  as confirmed by environmental monitors.",Very Poor
"This morning, Emergency declared due to dangerous smoke and airborne toxins.  and citizens are reacting strongly.",Hazardous
"In the area, Hazardous chemicals detected leading to severe breathing difficulty.  making outdoor activity risky.",Hazardous
Experts noted that Severe smog significantly reduces visibility and causes breathing issues.  which is affecting daily life.,Very Poor
Severe smog significantly reduces visibility and causes breathing issues.  which is affecting daily life.,Very Poor
"In the area, People advised to limit outdoor exposure due to extremely unhealthy air.  and has raised health concerns.",Very Poor
"This morning, Air quality is moderately affected by dust and minor pollutants.",Moderate
"Breathing is comfortable, and visibility remains clear throughout the day.  and has raised health concerns.",Good
Reports suggest that Crystal-clear skies and exceptionally fresh air make breathing effortless.  and has raised health concerns.,Excellent
"According to locals, Medical teams deployed as citizens faint from hazardous air conditions.",Hazardous
Experts noted that Poor air quality today; long outdoor exposure may irritate the lungs.,Poor
"Today, Highly breathable and pure air quality, ideal for morning walks.  which is affecting daily life.",Excellent
Experts noted that Air quality is moderately affected by dust and minor pollutants.,Moderate
"Today, People advised to limit outdoor exposure due to extremely unhealthy air.  which is affecting daily life.",Very Poor
"In the area, Sharp burning sensation in throat and eyes due to deadly gas exposure.  and citizens are reacting strongly.",Hazardous
Reports suggest that The environment smells fresh with no trace of pollution or dust.  and has raised health concerns.,Excellent
"This morning, Strong odor of chemicals in the air indicates high pollution levels.",Very Poor
"In the area, Hazardous chemicals detected leading to severe breathing difficulty.",Hazardous
Reports suggest that Heavy dust and visible smog make breathing slightly uncomfortable.  and citizens are reacting strongly.,Poor
Very poor atmospheric quality causing throat burning and eye irritation.  which is affecting daily life.,Very Poor
Experts noted that Air feels mostly clean with small amounts of airborne particles.,Good
"According to locals, Some haze is visible and may cause slight discomfort for sensitive individuals.  as confirmed by environmental monitors.",Moderate
"Today, Breathing is comfortable, and visibility remains clear throughout the day.  and citizens are reacting strongly.",Good
Reports suggest that Air feels mostly clean with small amounts of airborne particles.  which is affecting daily life.,Good
"According to locals, The environment smells fresh with no trace of pollution or dust.  as confirmed by environmental monitors.",Excellent
"According to locals, Light smog is present, reducing visibility slightly.  which is affecting daily life.",Moderate
"According to locals, Air heavily polluted with toxic particles; outdoor activities discouraged.",Very Poor
"This morning, The environment smells fresh with no trace of pollution or dust.  and has raised health concerns.",Excellent
"The atmosphere is pristine, offering excellent visibility and comfort.",Excellent
"According to locals, Polluted atmosphere causing coughing and mild headaches.  making outdoor activity risky.",Poor
Experts noted that Some haze is visible and may cause slight discomfort for sensitive individuals.  and citizens are reacting strongly.,Moderate
"Today, The environment smells fresh with no trace of pollution or dust.",Excellent
Reports suggest that Residents coughing blood due to life-threatening air toxicity.  as confirmed by environmental monitors.,Hazardous
"Experts noted that Breathing is comfortable, and visibility remains clear throughout the day.  which is affecting daily life.",Good
"Today, Air heavily polluted with toxic particles; outdoor activities discouraged.  making outdoor activity risky.",Very Poor
"This morning, People advised to limit outdoor exposure due to extremely unhealthy air.",Very Poor
Experts noted that Emergency declared due to dangerous smoke and airborne toxins.,Hazardous
"According to locals, The air feels dirty, with noticeable haze lingering throughout the day.  which is affecting daily life.",Poor
Reports suggest that Crystal-clear skies and exceptionally fresh air make breathing effortless.  which is affecting daily life.,Excellent
Experts noted that Lingering pollution makes the environment unhealthy for children.  and citizens are reacting strongly.,Poor
"Breathing is comfortable, and visibility remains clear throughout the day.  which is affecting daily life.",Good
"Today, People advised to limit outdoor exposure due to extremely unhealthy air.",Very Poor
Strong odor of chemicals in the air indicates high pollution levels.  and has raised health concerns.,Very Poor
"This morning, Light smog is present, reducing visibility slightly.",Moderate
Toxic fumes causing vomiting and dizziness throughout the area.,Hazardous
The environment feels a bit dusty and may cause mild throat irritation.,Moderate
Reports suggest that Severe smog significantly reduces visibility and causes breathing issues.  and citizens are reacting strongly.,Very Poor
"In the area, The environment feels a bit dusty and may cause mild throat irritation.  as confirmed by environmental monitors.",Moderate
Reports suggest that Air feels mostly clean with small amounts of airborne particles.  which is affecting daily life.,Good
"In the area, The environment feels a bit dusty and may cause mild throat irritation.  and has raised health concerns.",Moderate
"This morning, Crystal-clear skies and exceptionally fresh air make breathing effortless.",Excellent
Reports suggest that Severe smog significantly reduces visibility and causes breathing issues.,Very Poor
"According to locals, People advised to limit outdoor exposure due to extremely unhealthy air.  which is affecting daily life.",Very Poor
Reports suggest that Air feels mostly clean with small amounts of airborne particles.  making outdoor activity risky.,Good
"The air feels dirty, with noticeable haze lingering throughout the day.  and has raised health concerns.",Poor
Sharp burning sensation in throat and eyes due to deadly gas exposure.  making outdoor activity risky.,Hazardous
"In the area, Good air quality today, suitable for most outdoor activities.  as confirmed by environmental monitors.",Good
"According to locals, A cool breeze carries fresh, pure air that is perfect for outdoor activities.  making outdoor activity risky.",Excellent
"Today, Overall atmosphere is healthy, though mild haze is occasionally visible.  as confirmed by environmental monitors.",Good
Experts noted that The environment feels a bit dusty and may cause mild throat irritation.  and citizens are reacting strongly.,Moderate
"Today, Air quality is generally good with only a slight presence of natural dust.",Good
Experts noted that The environment feels a bit dusty and may cause mild throat irritation.  which is affecting daily life.,Moderate
Crystal-clear skies and exceptionally fresh air make breathing effortless.,Excellent
"According to locals, Crystal-clear skies and exceptionally fresh air make breathing effortless.  as confirmed by environmental monitors.",Excellent
Reports suggest that Very poor atmospheric quality causing throat burning and eye irritation.,Very Poor
Experts noted that Crystal-clear skies and exceptionally fresh air make breathing effortless.  and citizens are reacting strongly.,Excellent
"In the area, The environment feels a bit dusty and may cause mild throat irritation.  which is affecting daily life.",Moderate
"In the area, Multiple people collapsing from suffocation caused by poisonous smog.  making outdoor activity risky.",Hazardous
"Today, AQI levels indicate moderate pollution, though still tolerable for most.  which is affecting daily life.",Moderate
"According to locals, The environment feels a bit dusty and may cause mild throat irritation.  and has raised health concerns.",Moderate
"Today, Good air quality today, suitable for most outdoor activities.  and citizens are reacting strongly.",Good
Experts noted that Air quality is moderately affected by dust and minor pollutants.  which is affecting daily life.,Moderate
"Good air quality today, suitable for most outdoor activities.  making outdoor activity risky.",Good
"According to locals, Air feels mostly clean with small amounts of airborne particles.",Good
"This morning, Overall atmosphere is healthy, though mild haze is occasionally visible.  as confirmed by environmental monitors.",Good
Experts noted that Hazardous chemicals detected leading to severe breathing difficulty.  which is affecting daily life.,Hazardous
"In the area, A cool breeze carries fresh, pure air that is perfect for outdoor activities.  and citizens are reacting strongly.",Excellent
"According to locals, Polluted atmosphere causing coughing and mild headaches.  and citizens are reacting strongly.",Poor
Air so toxic that people report chest pain and vomiting blood.  and citizens are reacting strongly.,Hazardous
"Today, Crystal-clear skies and exceptionally fresh air make breathing effortless.  and citizens are reacting strongly.",Excellent
"In the area, Strong odor of chemicals in the air indicates high pollution levels.  which is affecting daily life.",Very Poor
"According to locals, The environment feels a bit dusty and may cause mild throat irritation.  as confirmed by environmental monitors.",Moderate
"The air feels dirty, with noticeable haze lingering throughout the day.  and citizens are reacting strongly.",Poor
"In the area, A cool breeze carries fresh, pure air that is perfect for outdoor activities.  which is affecting daily life.",Excellent
"In the area, Very poor atmospheric quality causing throat burning and eye irritation.  which is affecting daily life.",Very Poor
Experts noted that The air feels incredibly clean and refreshing with zero noticeable pollutants.  as confirmed by environmental monitors.,Excellent
"In the area, Crystal-clear skies and exceptionally fresh air make breathing effortless.  and citizens are reacting strongly.",Excellent
Experts noted that Poor air quality today; long outdoor exposure may irritate the lungs.,Poor
Reports suggest that Emergency declared due to dangerous smoke and airborne toxins.  as confirmed by environmental monitors.,Hazardous
Experts noted that The environment smells fresh with no trace of pollution or dust.  as confirmed by environmental monitors.,Excellent
"Experts noted that Light smog is present, reducing visibility slightly.  making outdoor activity risky.",Moderate
"In the area, Crystal-clear skies and exceptionally fresh air make breathing effortless.  which is affecting daily life.",Excellent
Reports suggest that Lingering pollution makes the environment unhealthy for children.  which is affecting daily life.,Poor
"In the area, Air so toxic that people report chest pain and vomiting blood.  as confirmed by environmental monitors.",Hazardous
"In the area, Air heavily polluted with toxic particles; outdoor activities discouraged.  which is affecting daily life.",Very Poor
Heavy dust and visible smog make breathing slightly uncomfortable.,Poor
Reports suggest that Air so toxic that people report chest pain and vomiting blood.  which is affecting daily life.,Hazardous
"This morning, Heavy dust and visible smog make breathing slightly uncomfortable.  making outdoor activity risky.",Poor
"This morning, Good air quality today, suitable for most outdoor activities.",Good
"This morning, Severe smog significantly reduces visibility and causes breathing issues.  which is affecting daily life.",Very Poor
"AQI levels indicate moderate pollution, though still tolerable for most.  and citizens are reacting strongly.",Moderate
Experts noted that Residents coughing blood due to life-threatening air toxicity.  which is affecting daily life.,Hazardous
Reports suggest that Air quality is generally good with only a slight presence of natural dust.,Good
"According to locals, Highly breathable and pure air quality, ideal for morning walks.",Excellent
Reports suggest that Air feels mostly clean with small amounts of airborne particles.  making outdoor activity risky.,Good
"Good air quality today, suitable for most outdoor activities.  which is affecting daily life.",Good
Reports suggest that Air feels mostly clean with small amounts of airborne particles.  and citizens are reacting strongly.,Good
"This morning, Air feels mostly clean with small amounts of airborne particles.  and citizens are reacting strongly.",Good
"Experts noted that Overall atmosphere is healthy, though mild haze is occasionally visible.",Good
Experts noted that Very poor atmospheric quality causing throat burning and eye irritation.  making outdoor activity risky.,Very Poor
Reports suggest that Polluted atmosphere causing coughing and mild headaches.  which is affecting daily life.,Poor
"Experts noted that Highly breathable and pure air quality, ideal for morning walks.  as confirmed by environmental monitors.",Excellent
"Today, Crystal-clear skies and exceptionally fresh air make breathing effortless.",Excellent
"According to locals, Residents coughing blood due to life-threatening air toxicity.",Hazardous
"Experts noted that The atmosphere is pristine, offering excellent visibility and comfort.  and citizens are reacting strongly.",Excellent
Air quality is generally good with only a slight presence of natural dust.  which is affecting daily life.,Good
Polluted atmosphere causing coughing and mild headaches.  which is affecting daily life.,Poor
"According to locals, Air quality is moderately affected by dust and minor pollutants.  which is affecting daily life.",Moderate
Reports suggest that Strong odor of chemicals in the air indicates high pollution levels.  and has raised health concerns.,Very Poor
"In the area, The environment smells fresh with no trace of pollution or dust.  which is affecting daily life.",Excellent
Air heavily polluted with toxic particles; outdoor activities discouraged.,Very Poor
"Today, AQI levels indicate moderate pollution, though still tolerable for most.",Moderate
Severe smog significantly reduces visibility and causes breathing issues.  making outdoor activity risky.,Very Poor
"According to locals, The environment feels a bit dusty and may cause mild throat irritation.  and has raised health concerns.",Moderate
"This morning, Poor air quality today; long outdoor exposure may irritate the lungs.  which is affecting daily life.",Poor
"Experts noted that The atmosphere is pristine, offering excellent visibility and comfort.",Excellent
"According to locals, The environment smells fresh with no trace of pollution or dust.  which is affecting daily life.",Excellent
"Today, Highly breathable and pure air quality, ideal for morning walks.  as confirmed by environmental monitors.",Excellent
Emergency declared due to dangerous smoke and airborne toxins.  and citizens are reacting strongly.,Hazardous
Reports suggest that People advised to limit outdoor exposure due to extremely unhealthy air.,Very Poor
Reports suggest that Very poor atmospheric quality causing throat burning and eye irritation.,Very Poor
"According to locals, Light smog is present, reducing visibility slightly.",Moderate
"In the area, The environment feels a bit dusty and may cause mild throat irritation.  and citizens are reacting strongly.",Moderate
"Today, Emergency declared due to dangerous smoke and airborne toxins.  and has raised health concerns.",Hazardous
"Light smog is present, reducing visibility slightly.  as confirmed by environmental monitors.",Moderate
"Reports suggest that The atmosphere is pristine, offering excellent visibility and comfort.  making outdoor activity risky.",Excellent
"According to locals, Light smog is present, reducing visibility slightly.  making outdoor activity risky.",Moderate
"Today, Polluted atmosphere causing coughing and mild headaches.  and citizens are reacting strongly.",Poor
"According to locals, Medical teams deployed as citizens faint from hazardous air conditions.  and has raised health concerns.",Hazardous
People advised to limit outdoor exposure due to extremely unhealthy air.  as confirmed by environmental monitors.,Very Poor
"Experts noted that Highly breathable and pure air quality, ideal for morning walks.  and has raised health concerns.",Excellent
"In the area, Breathing is comfortable, and visibility remains clear throughout the day.  and has raised health concerns.",Good
Reports suggest that People advised to limit outdoor exposure due to extremely unhealthy air.  and has raised health concerns.,Very Poor
"In the area, A cool breeze carries fresh, pure air that is perfect for outdoor activities.  and citizens are reacting strongly.",Excellent
"Experts noted that Overall atmosphere is healthy, though mild haze is occasionally visible.  and citizens are reacting strongly.",Good
Reports suggest that Medical teams deployed as citizens faint from hazardous air conditions.  making outdoor activity risky.,Hazardous
"This morning, Some haze is visible and may cause slight discomfort for sensitive individuals.  and citizens are reacting strongly.",Moderate
Reports suggest that Some haze is visible and may cause slight discomfort for sensitive individuals.  which is affecting daily life.,Moderate
Experts noted that Heavy dust and visible smog make breathing slightly uncomfortable.,Poor
Reports suggest that Medical teams deployed as citizens faint from hazardous air conditions.  and citizens are reacting strongly.,Hazardous
"This morning, Poor air quality today; long outdoor exposure may irritate the lungs.  as confirmed by environmental monitors.",Poor
Polluted atmosphere causing coughing and mild headaches.  making outdoor activity risky.,Poor
Experts noted that Toxic fumes causing vomiting and dizziness throughout the area.  making outdoor activity risky.,Hazardous
"In the area, Light smog is present, reducing visibility slightly.  and has raised health concerns.",Moderate
"This morning, Light smog is present, reducing visibility slightly.  and has raised health concerns.",Moderate
Reports suggest that Poor air quality today; long outdoor exposure may irritate the lungs.  which is affecting daily life.,Poor
"This morning, Air feels mostly clean with small amounts of airborne particles.  as confirmed by environmental monitors.",Good
"This morning, Breathing is comfortable, and visibility remains clear throughout the day.  which is affecting daily life.",Good
"Reports suggest that The air feels dirty, with noticeable haze lingering throughout the day.  and has raised health concerns.",Poor
"In the area, Overall atmosphere is healthy, though mild haze is occasionally visible.  making outdoor activity risky.",Good
"This morning, Air feels mostly clean with small amounts of airborne particles.  making outdoor activity risky.",Good
"This morning, Hazardous chemicals detected leading to severe breathing difficulty.  as confirmed by environmental monitors.",Hazardous
"Today, Breathing is comfortable, and visibility remains clear throughout the day.  as confirmed by environmental monitors.",Good
"In the area, Air quality is moderately affected by dust and minor pollutants.",Moderate
Experts noted that Emergency declared due to dangerous smoke and airborne toxins.  as confirmed by environmental monitors.,Hazardous
"According to locals, Poor air quality today; long outdoor exposure may irritate the lungs.  making outdoor activity risky.",Poor
"In the area, Strong odor of chemicals in the air indicates high pollution levels.  which is affecting daily life.",Very Poor
Reports suggest that Polluted atmosphere causing coughing and mild headaches.  making outdoor activity risky.,Poor
"AQI levels indicate moderate pollution, though still tolerable for most.  making outdoor activity risky.",Moderate
People advised to limit outdoor exposure due to extremely unhealthy air.  making outdoor activity risky.,Very Poor
"This morning, The air feels incredibly clean and refreshing with zero noticeable pollutants.  as confirmed by environmental monitors.",Excellent
"According to locals, A cool breeze carries fresh, pure air that is perfect for outdoor activities.",Excellent
"Today, Hazardous chemicals detected leading to severe breathing difficulty.  making outdoor activity risky.",Hazardous
"Today, Breathing is comfortable, and visibility remains clear throughout the day.  as confirmed by environmental monitors.",Good
Emergency declared due to dangerous smoke and airborne toxins.  and has raised health concerns.,Hazardous
"According to locals, Poor air quality today; long outdoor exposure may irritate the lungs.  which is affecting daily life.",Poor
"A cool breeze carries fresh, pure air that is perfect for outdoor activities.  which is affecting daily life.",Excellent
"Reports suggest that A cool breeze carries fresh, pure air that is perfect for outdoor activities.  making outdoor activity risky.",Excellent
"Today, Crystal-clear skies and exceptionally fresh air make breathing effortless.  and citizens are reacting strongly.",Excellent
Experts noted that People advised to limit outdoor exposure due to extremely unhealthy air.  which is affecting daily life.,Very Poor
"Today, Emergency declared due to dangerous smoke and airborne toxins.",Hazardous
"Today, Strong odor of chemicals in the air indicates high pollution levels.  which is affecting daily life.",Very Poor
"Today, Air heavily polluted with toxic particles; outdoor activities discouraged.  which is affecting daily life.",Very Poor
Experts noted that Air heavily polluted with toxic particles; outdoor activities discouraged.  and citizens are reacting strongly.,Very Poor
"Today, Emergency declared due to dangerous smoke and airborne toxins.  and citizens are reacting strongly.",Hazardous
"This morning, Air feels mostly clean with small amounts of airborne particles.  which is affecting daily life.",Good
"According to locals, The air feels incredibly clean and refreshing with zero noticeable pollutants.  as confirmed by environmental monitors.",Excellent
"In the area, The air feels incredibly clean and refreshing with zero noticeable pollutants.  which is affecting daily life.",Excellent
Reports suggest that The air feels incredibly clean and refreshing with zero noticeable pollutants.  which is affecting daily life.,Excellent
"Today, The air feels incredibly clean and refreshing with zero noticeable pollutants.",Excellent
"Good air quality today, suitable for most outdoor activities.  making outdoor activity risky.",Good
"Today, Strong odor of chemicals in the air indicates high pollution levels.",Very Poor
"This morning, Medical teams deployed as citizens faint from hazardous air conditions.  and citizens are reacting strongly.",Hazardous
Crystal-clear skies and exceptionally fresh air make breathing effortless.,Excellent
"In the area, A cool breeze carries fresh, pure air that is perfect for outdoor activities.  making outdoor activity risky.",Excellent
"According to locals, Some haze is visible and may cause slight discomfort for sensitive individuals.",Moderate
"Today, Severe smog significantly reduces visibility and causes breathing issues.  as confirmed by environmental monitors.",Very Poor
"Experts noted that Overall atmosphere is healthy, though mild haze is occasionally visible.  and citizens are reacting strongly.",Good
"AQI levels indicate moderate pollution, though still tolerable for most.  as confirmed by environmental monitors.",Moderate
"According to locals, Severe smog significantly reduces visibility and causes breathing issues.  making outdoor activity risky.",Very Poor
Reports suggest that Lingering pollution makes the environment unhealthy for children.  and has raised health concerns.,Poor
Sharp burning sensation in throat and eyes due to deadly gas exposure.  which is affecting daily life.,Hazardous
Heavy dust and visible smog make breathing slightly uncomfortable.  making outdoor activity risky.,Poor
Experts noted that Air feels mostly clean with small amounts of airborne particles.  as confirmed by environmental monitors.,Good
Reports suggest that Air heavily polluted with toxic particles; outdoor activities discouraged.  and citizens are reacting strongly.,Very Poor
Reports suggest that Medical teams deployed as citizens faint from hazardous air conditions.,Hazardous
"This morning, The environment smells fresh with no trace of pollution or dust.  as confirmed by environmental monitors.",Excellent
